severity,market,year,check,detail,n,sample
FAIL,NG,2020,year_coverage_read_error,"OSError(""Could not open Parquet input source '<Buffer>': Couldn't deserialize thrift: TProtocolException: Invalid data\n"")",,
FAIL,NG,2021,year_coverage_read_error,"OSError(""Could not open Parquet input source '<Buffer>': Couldn't deserialize thrift: TProtocolException: Invalid data\n"")",,
FAIL,NG,2025,year_coverage_read_error,"OSError(""Could not open Parquet input source '<Buffer>': Couldn't deserialize thrift: TProtocolException: Invalid data\n"")",,
FAIL,NG,2026,year_coverage_read_error,"OSError(""Could not open Parquet input source '<Buffer>': Couldn't deserialize thrift: don't know what type: \x0f\n"")",,
FAIL,NG,2020,missing_observed_data_year,missing observed ts_event year 2020 for NG,,
FAIL,NG,2021,missing_observed_data_year,missing observed ts_event year 2021 for NG,,
FAIL,RTY,2021,missing_observed_data_year,missing observed ts_event year 2021 for RTY,,
WARN,CL,2010,zero_range,high == low bars,20662.0,"[{""ts_event"":""2010-06-07T01:46:00.000Z"",""open"":69.79,""high"":69.79,""low"":69.79,""close"":69.79,""volume"":11.0},{""ts_event"":""2010-06-07T02:19:00.000Z"",""open"":70.07,""high"":70.07,""low"":70.07,""close"":70.07,""volume"":7.0},{""ts_event"":""2010-06-07T02:52:00.000Z"",""open"":70.12,""high"":70.12,""low"":70.12,""close"":70.12,""volume"":3.0},{""ts_event"":""2010-06-07T03:03:00.000Z"",""open"":70.01,""high"":70.01,""low"":70.01,""close"":70.01,""volume"":1.0},{""ts_event"":""2010-06-07T03:22:00.000Z"",""open"":70.02,""high"":70.02,""low"":70.02,""close"":70.02,""volume"":1.0}]"
WARN,CL,2010,timestamp_gaps_gt_1min,raw timestamp gaps detected on duplicate-free timestamps; validate against session calendar before treating as missing data,6836.0,"[{""ts_event"":""2010-06-07T03:50:00.000Z"",""prev_ts"":""2010-06-07T03:48:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2010},{""ts_event"":""2010-06-07T04:04:00.000Z"",""prev_ts"":""2010-06-07T04:02:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2010},{""ts_event"":""2010-06-07T20:28:00.000Z"",""prev_ts"":""2010-06-07T20:26:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2010},{""ts_event"":""2010-06-07T20:44:00.000Z"",""prev_ts"":""2010-06-07T20:42:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2010},{""ts_event"":""2010-06-07T20:47:00.000Z"",""prev_ts"":""2010-06-07T20:45:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2010}]"
WARN,CL,2010,volume_mad_z_gt_25,extreme volume spike,4475.0,"[{""ts_event"":""2010-06-07T13:00:00.000Z"",""open"":71.52,""high"":71.71,""low"":71.48,""close"":71.7,""volume"":1595.0},{""ts_event"":""2010-06-07T13:03:00.000Z"",""open"":71.64,""high"":71.73,""low"":71.55,""close"":71.6,""volume"":1965.0},{""ts_event"":""2010-06-07T13:07:00.000Z"",""open"":71.63,""high"":71.88,""low"":71.53,""close"":71.86,""volume"":1587.0},{""ts_event"":""2010-06-07T13:30:00.000Z"",""open"":71.53,""high"":71.56,""low"":71.22,""close"":71.37,""volume"":1507.0},{""ts_event"":""2010-06-07T13:35:00.000Z"",""open"":71.39,""high"":71.44,""low"":71.17,""close"":71.26,""volume"":1602.0}]"
WARN,CL,2010,dollar_volume_mad_z_gt_25,extreme price*volume spike,4212.0,"[{""ts_event"":""2010-06-07T13:03:00.000Z"",""open"":71.64,""high"":71.73,""low"":71.55,""close"":71.6,""volume"":1965.0},{""ts_event"":""2010-06-07T13:39:00.000Z"",""open"":71.14,""high"":71.22,""low"":70.94,""close"":71.06,""volume"":2092.0},{""ts_event"":""2010-06-07T13:49:00.000Z"",""open"":70.99,""high"":71.12,""low"":70.99,""close"":71.1,""volume"":1730.0},{""ts_event"":""2010-06-07T13:56:00.000Z"",""open"":71.27,""high"":71.49,""low"":71.24,""close"":71.48,""volume"":2237.0},{""ts_event"":""2010-06-07T13:57:00.000Z"",""open"":71.48,""high"":71.56,""low"":71.39,""close"":71.41,""volume"":1728.0}]"
WARN,CL,2011,zero_range,high == low bars,28756.0,"[{""ts_event"":""2011-01-02T23:18:00.000Z"",""open"":91.4,""high"":91.4,""low"":91.4,""close"":91.4,""volume"":2.0},{""ts_event"":""2011-01-02T23:21:00.000Z"",""open"":91.4,""high"":91.4,""low"":91.4,""close"":91.4,""volume"":1.0},{""ts_event"":""2011-01-02T23:26:00.000Z"",""open"":91.37,""high"":91.37,""low"":91.37,""close"":91.37,""volume"":12.0},{""ts_event"":""2011-01-02T23:38:00.000Z"",""open"":91.34,""high"":91.34,""low"":91.34,""close"":91.34,""volume"":3.0},{""ts_event"":""2011-01-02T23:40:00.000Z"",""open"":91.35,""high"":91.35,""low"":91.35,""close"":91.35,""volume"":1.0}]"
WARN,CL,2011,timestamp_gaps_gt_1min,raw timestamp gaps detected on duplicate-free timestamps; validate against session calendar before treating as missing data,10857.0,"[{""ts_event"":""2011-01-02T23:25:00.000Z"",""prev_ts"":""2011-01-02T23:23:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2011},{""ts_event"":""2011-01-02T23:46:00.000Z"",""prev_ts"":""2011-01-02T23:44:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2011},{""ts_event"":""2011-01-02T23:51:00.000Z"",""prev_ts"":""2011-01-02T23:49:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2011},{""ts_event"":""2011-01-02T23:56:00.000Z"",""prev_ts"":""2011-01-02T23:54:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2011},{""ts_event"":""2011-01-03T00:08:00.000Z"",""prev_ts"":""2011-01-03T00:05:00.000"",""gap_minutes"":3.0,""market"":""CL"",""year"":2011}]"
WARN,CL,2011,abs_close_return_gt_2pct,large 1-minute close-to-close move,4.0,"[{""ts_event"":""2011-02-20T23:00:00.000Z"",""open"":89.99,""high"":90.12,""low"":89.77,""close"":90.12,""volume"":453.0},{""ts_event"":""2011-05-06T12:30:00.000Z"",""open"":97.99,""high"":100.29,""low"":97.92,""close"":99.98,""volume"":5829.0},{""ts_event"":""2011-08-05T12:30:00.000Z"",""open"":85.56,""high"":88.22,""low"":85.56,""close"":88.19,""volume"":6078.0},{""ts_event"":""2011-08-07T22:00:00.000Z"",""open"":85.71,""high"":85.78,""low"":84.85,""close"":84.85,""volume"":1475.0}]"
WARN,CL,2011,hl_range_gt_2pct,large 1-minute high-low range,3.0,"[{""ts_event"":""2011-05-06T12:30:00.000Z"",""open"":97.99,""high"":100.29,""low"":97.92,""close"":99.98,""volume"":5829.0},{""ts_event"":""2011-08-05T12:30:00.000Z"",""open"":85.56,""high"":88.22,""low"":85.56,""close"":88.19,""volume"":6078.0},{""ts_event"":""2011-09-02T12:30:00.000Z"",""open"":88.15,""high"":88.2,""low"":86.31,""close"":86.98,""volume"":5377.0}]"
WARN,CL,2011,volume_mad_z_gt_25,extreme volume spike,6238.0,"[{""ts_event"":""2011-01-03T13:59:00.000Z"",""open"":91.86,""high"":92.45,""low"":91.86,""close"":92.28,""volume"":2655.0},{""ts_event"":""2011-01-03T14:00:00.000Z"",""open"":92.28,""high"":92.39,""low"":92.18,""close"":92.25,""volume"":2947.0},{""ts_event"":""2011-01-03T14:01:00.000Z"",""open"":92.27,""high"":92.29,""low"":92.07,""close"":92.28,""volume"":1662.0},{""ts_event"":""2011-01-03T15:30:00.000Z"",""open"":92.26,""high"":92.27,""low"":92.16,""close"":92.2,""volume"":2000.0},{""ts_event"":""2011-01-03T15:50:00.000Z"",""open"":92.16,""high"":92.26,""low"":92.02,""close"":92.07,""volume"":1728.0}]"
WARN,CL,2011,dollar_volume_mad_z_gt_25,extreme price*volume spike,6199.0,"[{""ts_event"":""2011-01-03T13:59:00.000Z"",""open"":91.86,""high"":92.45,""low"":91.86,""close"":92.28,""volume"":2655.0},{""ts_event"":""2011-01-03T14:00:00.000Z"",""open"":92.28,""high"":92.39,""low"":92.18,""close"":92.25,""volume"":2947.0},{""ts_event"":""2011-01-03T14:01:00.000Z"",""open"":92.27,""high"":92.29,""low"":92.07,""close"":92.28,""volume"":1662.0},{""ts_event"":""2011-01-03T15:30:00.000Z"",""open"":92.26,""high"":92.27,""low"":92.16,""close"":92.2,""volume"":2000.0},{""ts_event"":""2011-01-03T15:50:00.000Z"",""open"":92.16,""high"":92.26,""low"":92.02,""close"":92.07,""volume"":1728.0}]"
WARN,CL,2012,zero_range,high == low bars,35653.0,"[{""ts_event"":""2012-01-02T23:25:00.000Z"",""open"":100.1,""high"":100.1,""low"":100.1,""close"":100.1,""volume"":1.0},{""ts_event"":""2012-01-02T23:28:00.000Z"",""open"":100.1,""high"":100.1,""low"":100.1,""close"":100.1,""volume"":7.0},{""ts_event"":""2012-01-02T23:46:00.000Z"",""open"":100.29,""high"":100.29,""low"":100.29,""close"":100.29,""volume"":1.0},{""ts_event"":""2012-01-03T00:07:00.000Z"",""open"":100.38,""high"":100.38,""low"":100.38,""close"":100.38,""volume"":2.0},{""ts_event"":""2012-01-03T00:12:00.000Z"",""open"":100.35,""high"":100.35,""low"":100.35,""close"":100.35,""volume"":1.0}]"
WARN,CL,2012,timestamp_gaps_gt_1min,raw timestamp gaps detected on duplicate-free timestamps; validate against session calendar before treating as missing data,12656.0,"[{""ts_event"":""2012-01-02T23:48:00.000Z"",""prev_ts"":""2012-01-02T23:46:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2012},{""ts_event"":""2012-01-03T00:11:00.000Z"",""prev_ts"":""2012-01-03T00:09:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2012},{""ts_event"":""2012-01-03T00:32:00.000Z"",""prev_ts"":""2012-01-03T00:30:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2012},{""ts_event"":""2012-01-03T00:40:00.000Z"",""prev_ts"":""2012-01-03T00:38:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2012},{""ts_event"":""2012-01-03T00:48:00.000Z"",""prev_ts"":""2012-01-03T00:46:00.000"",""gap_minutes"":2.0,""market"":""CL"",""year"":2012}]"
