market,year,path,rows,first_ts,last_ts,duplicate_ts,gap_count_gt_1min,zero_volume,zero_range,stale_close_run_max,close_min,close_max,volume_sum
CL,2010,/workspaces/quant_project/data/raw/CL/2010.parquet,196666,2010-06-07 00:00:00+00:00,2010-12-31 21:14:00+00:00,0,6836,0,20662,8,69.57,92.01,42211073.0
CL,2011,/workspaces/quant_project/data/raw/CL/2011.parquet,340230,2011-01-02 23:00:00+00:00,2011-12-30 22:14:00+00:00,0,10857,0,28756,13,75.07,114.73,74345010.0
CL,2012,/workspaces/quant_project/data/raw/CL/2012.parquet,333140,2012-01-02 23:00:00+00:00,2012-12-31 22:14:00+00:00,0,12656,0,35653,9,77.3,110.35,57062805.0
CL,2013,/workspaces/quant_project/data/raw/CL/2013.parquet,331437,2013-01-01 23:00:00+00:00,2013-12-31 22:14:00+00:00,0,12789,0,42743,12,85.63,112.23,54859765.0
CL,2014,/workspaces/quant_project/data/raw/CL/2014.parquet,327908,2014-01-01 23:00:00+00:00,2014-12-31 22:14:00+00:00,0,13609,0,47135,19,52.47,107.52,57392162.0
CL,2015,/workspaces/quant_project/data/raw/CL/2015.parquet,346366,2015-01-01 23:00:00+00:00,2015-12-31 21:59:00+00:00,0,6706,0,30258,15,34.37,62.49,86660489.0
CL,2016,/workspaces/quant_project/data/raw/CL/2016.parquet,351618,2016-01-03 23:00:00+00:00,2016-12-30 21:59:00+00:00,0,2184,0,17229,13,26.06,54.47,107318670.0
CL,2017,/workspaces/quant_project/data/raw/CL/2017.parquet,349402,2017-01-02 23:00:00+00:00,2017-12-29 21:59:00+00:00,0,2763,0,22376,17,42.12,60.47,123820554.0
CL,2018,/workspaces/quant_project/data/raw/CL/2018.parquet,351877,2018-01-01 23:00:00+00:00,2018-12-31 21:59:00+00:00,0,1716,0,13257,14,42.45,76.86,128388385.0
CL,2019,/workspaces/quant_project/data/raw/CL/2019.parquet,351933,2019-01-01 23:00:00+00:00,2019-12-31 21:59:00+00:00,0,1551,0,11845,14,44.47,66.57,129753385.0
CL,2020,/workspaces/quant_project/data/raw/CL/2020.parquet,349918,2020-01-01 23:00:00+00:00,2020-12-31 21:59:00+00:00,0,2192,0,13451,12,6.9,65.61,91708080.0
CL,2021,/workspaces/quant_project/data/raw/CL/2021.parquet,352233,2021-01-03 23:00:00+00:00,2021-12-31 21:59:00+00:00,0,1652,0,12558,16,47.18,85.35,76510763.0
CL,2022,/workspaces/quant_project/data/raw/CL/2022.parquet,350548,2022-01-02 23:00:00+00:00,2022-12-30 21:59:00+00:00,0,2618,0,7826,8,70.13,130.0,58174439.0
CL,2023,/workspaces/quant_project/data/raw/CL/2023.parquet,348882,2023-01-02 23:00:00+00:00,2023-12-29 21:59:00+00:00,0,3368,0,19447,16,64.37,95.03,56341854.0
CL,2024,/workspaces/quant_project/data/raw/CL/2024.parquet,349143,2024-01-01 23:00:00+00:00,2024-12-31 21:59:00+00:00,0,5389,0,29792,15,65.29,87.6,51830829.0
CL,2025,/workspaces/quant_project/data/raw/CL/2025.parquet,346890,2025-01-01 23:00:00+00:00,2025-12-31 21:59:00+00:00,0,5578,0,29930,13,54.99,79.35,41809360.0
CL,2026,/workspaces/quant_project/data/raw/CL/2026.parquet,128628,2026-01-01 23:00:00+00:00,2026-05-14 23:58:00+00:00,0,803,0,3525,10,55.82,118.77,23817157.0
ES,2010,/workspaces/quant_project/data/raw/ES/2010.parquet,201975,2010-06-07 00:00:00+00:00,2010-12-31 21:14:00+00:00,0,2623,0,23851,19,1003.75,1258.5,278107789.0
ES,2011,/workspaces/quant_project/data/raw/ES/2011.parquet,351411,2011-01-02 23:00:00+00:00,2011-12-30 21:14:00+00:00,0,2602,0,28446,26,1068.75,1372.5,574888587.0
ES,2012,/workspaces/quant_project/data/raw/ES/2012.parquet,348218,2012-01-03 11:00:00+00:00,2012-12-31 22:14:00+00:00,0,3391,0,37070,30,1260.25,1474.5,433049032.0
ES,2013,/workspaces/quant_project/data/raw/ES/2013.parquet,341259,2013-01-02 11:00:00+00:00,2013-12-31 22:14:00+00:00,0,4230,0,41627,30,1440.25,1846.25,409301598.0
ES,2014,/workspaces/quant_project/data/raw/ES/2014.parquet,335340,2014-01-02 11:00:00+00:00,2014-12-30 22:14:00+00:00,0,5668,0,45563,35,1732.0,2088.5,374778065.0
ES,2015,/workspaces/quant_project/data/raw/ES/2015.parquet,350165,2015-01-01 23:00:00+00:00,2015-12-31 21:59:00+00:00,0,3646,0,31802,24,1832.0,2133.5,388089422.0
ES,2016,/workspaces/quant_project/data/raw/ES/2016.parquet,349036,2016-01-03 23:00:00+00:00,2016-12-30 21:59:00+00:00,0,1897,0,23103,35,1804.5,2272.75,426307750.0
ES,2017,/workspaces/quant_project/data/raw/ES/2017.parquet,344785,2017-01-02 23:00:00+00:00,2017-12-29 21:59:00+00:00,0,4259,0,44343,37,2240.0,2698.0,318911768.0
ES,2018,/workspaces/quant_project/data/raw/ES/2018.parquet,348989,2018-01-01 23:00:00+00:00,2018-12-31 21:59:00+00:00,0,1312,0,17945,22,2321.75,2946.25,388076392.0
ES,2019,/workspaces/quant_project/data/raw/ES/2019.parquet,349532,2019-01-01 23:00:00+00:00,2019-12-31 21:59:00+00:00,0,969,0,15667,16,2439.0,3253.75,344788718.0
ES,2020,/workspaces/quant_project/data/raw/ES/2020.parquet,349611,2020-01-01 23:00:00+00:00,2020-12-31 21:59:00+00:00,0,1015,0,3992,316,2174.0,3751.5,431180550.0
ES,2021,/workspaces/quant_project/data/raw/ES/2021.parquet,353363,2021-01-03 23:00:00+00:00,2021-12-31 21:59:00+00:00,0,484,0,6227,22,3656.25,4799.5,355561530.0
ES,2022,/workspaces/quant_project/data/raw/ES/2022.parquet,354119,2022-01-02 23:00:00+00:00,2022-12-30 21:59:00+00:00,0,273,0,1343,7,3503.5,4807.25,441259390.0
ES,2023,/workspaces/quant_project/data/raw/ES/2023.parquet,353154,2023-01-02 23:00:00+00:00,2023-12-29 21:59:00+00:00,0,539,0,8643,15,3811.75,4841.5,390217836.0
ES,2024,/workspaces/quant_project/data/raw/ES/2024.parquet,354799,2024-01-01 23:00:00+00:00,2024-12-31 21:59:00+00:00,0,512,0,8348,13,4702.75,6147.25,351035838.0
ES,2025,/workspaces/quant_project/data/raw/ES/2025.parquet,352538,2025-01-01 23:00:00+00:00,2025-12-31 21:59:00+00:00,0,310,0,2903,10,4832.0,6992.75,351405000.0
ES,2026,/workspaces/quant_project/data/raw/ES/2026.parquet,130274,2026-01-01 23:00:00+00:00,2026-05-14 23:59:00+00:00,0,96,0,264,6,6356.75,7539.5,138764836.0
GC,2010,/workspaces/quant_project/data/raw/GC/2010.parquet,196992,2010-06-07 00:00:00+00:00,2010-12-31 21:14:00+00:00,0,6826,0,22751,12,1156.4,1431.6,18015120.0
GC,2011,/workspaces/quant_project/data/raw/GC/2011.parquet,349526,2011-01-02 23:00:00+00:00,2011-12-30 22:14:00+00:00,0,6395,0,22331,9,1307.9,1922.8,38517346.0
GC,2012,/workspaces/quant_project/data/raw/GC/2012.parquet,343798,2012-01-02 23:00:00+00:00,2012-12-31 22:14:00+00:00,0,6951,0,23797,16,1527.6,1798.0,33541113.0
GC,2013,/workspaces/quant_project/data/raw/GC/2013.parquet,340987,2013-01-01 23:00:00+00:00,2013-12-31 22:14:00+00:00,0,6144,0,21411,9,1180.5,1695.6,36934208.0
